"filename", "language", "HTML", "Markdown", "Shell Script", "YAML", "JavaScript", "JSON", "Draw.io", "CSS", "XML", "SCSS", "Ruby", "JSON with Comments", "comment", "blank", "total"
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/fontawesome-free/css/all.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 5, 1, 9
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/fonts/main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/glightbox/glightbox.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/glightbox/glightbox.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/loading-attribute-polyfill/loading-attribute-polyfill.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/loading-attribute-polyfill/loading-attribute-polyfill.umd.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 1, 9
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/a11y/assistive-mml.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/a11y/complexity.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/a11y/explorer.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/a11y/semantic-enrich.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/adaptors/liteDOM.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/core.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/input/asciimath.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/SagittAries/CoreDevelopment/ByteWielder/reforia.github.io/assets/lib/mathjax/input/mml.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
